,Unnamed: 0,Tweets,Source,Likes,RTs,step1,tokens,final_tokens,step2
103,103.0,"Astagfirullah, kalian kenapa sih? 😭😆🫠 https://t.co/aeZ35a47kb",Twitter for iPhone,41566.0,3449.0,astagfirullah kalian kenapa sih coaezakb,"['astagfirullah', 'kalian', 'kenapa', 'sih', 'coaezakb']","['astagfirullah', 'kalian', 'kenapa', 'sih', 'coaezakb']",astagfirullah kalian kenapa sih coaezakb
104,104.0,Ketemu sebentar lagi ya! 😘 https://t.co/uhUciCw6Sj,Twitter for iPhone,284.0,4.0,ketemu sebentar lagi ya couhucicwsj,"['ketemu', 'sebentar', 'lagi', 'ya', 'couhucicwsj']","['ketemu', 'sebentar', 'lagi', 'ya', 'couhucicwsj']",ketemu sebentar lagi ya couhucicwsj
106,106.0,Baca replies nya kenapa sih mood bgt 😭,Twitter for iPhone,772.0,10.0,baca replies nya kenapa sih mood bgt,"['baca', 'replies', 'nya', 'kenapa', 'sih', 'mood', 'bgt']","['baca', 'replies', 'nya', 'kenapa', 'sih', 'mood', 'bgt']",baca replies nya kenapa sih mood bgt
107,107.0,"Kita bertemu nanti malam yaaa di Bigu Fest, Hutan Kota GBK 🙌",Twitter for iPhone,518.0,10.0,kita bertemu nanti malam yaaa di bigu fest hutan kota gbk,"['kita', 'bertemu', 'nanti', 'malam', 'yaaa', 'di', 'bigu', 'fest', 'hutan', 'kota', 'gbk']","['kita', 'bertemu', 'nanti', 'malam', 'yaaa', 'di', 'bigu', 'fest', 'hutan', 'kota', 'gbk']",kita bertemu nanti malam yaaa di bigu fest hutan kota gbk
108,108.0,@cerenitity Bagus 👍,Twitter for iPhone,3.0,0.0,cerenitity bagus,"['cerenitity', 'bagus']","['cerenitity', 'bagus']",cerenitity bagus
109,109.0,@hhhandini yu to the na to the ni,Twitter for iPhone,50.0,3.0,hhhandini yu to the na to the ni,"['hhhandini', 'yu', 'to', 'the', 'na', 'to', 'the', 'ni']","['hhhandini', 'yu', 'to', 'the', 'na', 'to', 'the', 'ni']",hhhandini yu to the na to the ni
110,110.0,Udah ah mau nonton attorney woo dulu 🐳,Twitter for iPhone,893.0,31.0,udah ah mau nonton attorney woo dulu,"['udah', 'ah', 'mau', 'nonton', 'attorney', 'woo', 'dulu']","['udah', 'ah', 'mau', 'nonton', 'attorney', 'woo', 'dulu']",udah ah mau nonton attorney woo dulu
111,111.0,@cursedkidd @AREAJULID https://t.co/m8hZXm29Sx,Twitter for iPhone,3030.0,95.0,cursedkidd areajulid comhz,"['cursedkidd', 'areajulid', 'comhz']","['cursedkidd', 'areajulid', 'comhz']",cursedkidd areajulid comhz
112,112.0,@AREAJULID Siapa dia,Twitter for iPhone,5131.0,107.0,areajulid siapa dia,"['areajulid', 'siapa', 'dia']","['areajulid', 'siapa', 'dia']",areajulid siapa dia
113,113.0,Yura Yunari https://t.co/yLNCBhvo3G,Twitter for iPhone,72880.0,4851.0,yura yunari coylncbhvog,"['yura', 'yunari', 'coylncbhvog']","['yura', 'yunari', 'coylncbhvog']",yura yunari coylncbhvog
114,114.0,Jadi pengen nyobain makan natto deh. Kayaknya aku bakalan suka 😕,Twitter for iPhone,560.0,17.0,jadi pengen nyobain makan natto deh kayaknya aku bakalan suka,"['jadi', 'pengen', 'nyobain', 'makan', 'natto', 'deh', 'kayaknya', 'aku', 'bakalan', 'suka']","['jadi', 'pengen', 'nyobain', 'makan', 'natto', 'deh', 'kayaknya', 'aku', 'bakalan', 'suka']",jadi pengen nyobain makan natto deh kayaknya aku bakalan suka
116,116.0,@kristoimmanuel Udah doong capek 😂😭😭,Twitter for iPhone,399.0,4.0,kristoimmanuel udah doong capek,"['kristoimmanuel', 'udah', 'doong', 'capek']","['kristoimmanuel', 'udah', 'doong', 'capek']",kristoimmanuel udah doong capek
118,118.0,@awnnisza Banget,Twitter for iPhone,201.0,4.0,awnnisza banget,"['awnnisza', 'banget']","['awnnisza', 'banget']",awnnisza banget
119,119.0,Janji ga yunani?,Twitter for iPhone,34242.0,2059.0,janji ga yunani,"['janji', 'ga', 'yunani']","['janji', 'ga', 'yunani']",janji ga yunani
120,120.0,Nuhun gusti dikasih capek karena ketawa 🥹🙏,Twitter for iPhone,8652.0,542.0,nuhun gusti dikasih capek karena ketawa,"['nuhun', 'gusti', 'dikasih', 'capek', 'karena', 'ketawa']","['nuhun', 'gusti', 'dikasih', 'capek', 'karena', 'ketawa']",nuhun gusti dikasih capek karena ketawa
121,121.0,@Dearichan Maafkan kelabilan ini 🙏,Twitter for iPhone,5.0,0.0,dearichan maafkan kelabilan ini,"['dearichan', 'maafkan', 'kelabilan', 'ini']","['dearichan', 'maafkan', 'kelabilan', 'ini']",dearichan maafkan kelabilan ini
122,122.0,@fauziazhr_ plis aku ngakak sampe nangis cape bgt,Twitter for iPhone,6.0,1.0,fauziazhr_ plis aku ngakak sampe nangis cape bgt,"['fauziazhr_', 'plis', 'aku', 'ngakak', 'sampe', 'nangis', 'cape', 'bgt']","['fauziazhr_', 'plis', 'aku', 'ngakak', 'sampe', 'nangis', 'cape', 'bgt']",fauziazhr_ plis aku ngakak sampe nangis cape bgt
123,123.0,Ga jadi ygy,Twitter for iPhone,264.0,2.0,ga jadi ygy,"['ga', 'jadi', 'ygy']","['ga', 'jadi', 'ygy']",ga jadi ygy
124,124.0,@sherylsheinafia Ganti lagi ah malu 😭,Twitter for iPhone,817.0,9.0,sherylsheinafia ganti lagi ah malu,"['sherylsheinafia', 'ganti', 'lagi', 'ah', 'malu']","['sherylsheinafia', 'ganti', 'lagi', 'ah', 'malu']",sherylsheinafia ganti lagi ah malu
125,125.0,Yunaning ning nang ning eu~,Twitter for iPhone,9163.0,455.0,yunaning ning nang ning eu,"['yunaning', 'ning', 'nang', 'ning', 'eu']","['yunaning', 'ning', 'nang', 'ning', 'eu']",yunaning ning nang ning eu
126,126.0,@cinnamonowreo Kan jadi penasaran ya apa yang dihapus 😂,Twitter for iPhone,4741.0,31.0,cinnamonowreo kan jadi penasaran ya apa yang dihapus,"['cinnamonowreo', 'kan', 'jadi', 'penasaran', 'ya', 'apa', 'yang', 'dihapus']","['cinnamonowreo', 'kan', 'jadi', 'penasaran', 'ya', 'apa', 'yang', 'dihapus']",cinnamonowreo kan jadi penasaran ya apa yang dihapus
127,127.0,Sehari aja soalnya lucu 🥹 https://t.co/4p6fL2WfSm,Twitter for iPhone,370.0,6.0,sehari aja soalnya lucu copflwfsm,"['sehari', 'aja', 'soalnya', 'lucu', 'copflwfsm']","['sehari', 'aja', 'soalnya', 'lucu', 'copflwfsm']",sehari aja soalnya lucu copflwfsm
128,128.0,Lucu 😭 https://t.co/gyUlV68pK4,Twitter for iPhone,130068.0,15137.0,lucu cogyulvpk,"['lucu', 'cogyulvpk']","['lucu', 'cogyulvpk']",lucu cogyulvpk
129,129.0,@SuboFamily See youuuuuu 💕,Twitter for iPhone,0.0,0.0,subofamily see youuuuuu,"['subofamily', 'see', 'youuuuuu']","['subofamily', 'see', 'youuuuuu']",subofamily see youuuuuu
130,130.0,Hari terakhir di Bali untuk project yang bikin hatiku sangat penuh. Senang bisa belajar banyak sekali hal disini 💗💗💗,Twitter for iPhone,233.0,3.0,hari terakhir di bali untuk project yang bikin hatiku sangat penuh senang bisa belajar banyak sekali hal disini,"['hari', 'terakhir', 'di', 'bali', 'untuk', 'project', 'yang', 'bikin', 'hatiku', 'sangat', 'penuh', 'senang', 'bisa', 'belajar', 'banyak', 'sekali', 'hal', 'disini']","['hari', 'terakhir', 'di', 'bali', 'untuk', 'project', 'yang', 'bikin', 'hatiku', 'sangat', 'penuh', 'senang', 'bisa', 'belajar', 'banyak', 'sekali', 'hal', 'disini']",hari terakhir di bali untuk project yang bikin hatiku sangat penuh senang bisa belajar banyak sekali hal disini
131,131.0,"RT @MindTendencies2: What's meant for you will always feel natural, calm and clear, not forced, chaotic and confused.",Twitter for iPhone,0.0,12383.0,mindtendencies what meant for you will always feel natural calm and clear not forced chaotic and confused,"['mindtendencies', 'what', 'meant', 'for', 'you', 'will', 'always', 'feel', 'natural', 'calm', 'and', 'clear', 'not', 'forced', 'chaotic', 'and', 'confused']","['mindtendencies', 'what', 'meant', 'for', 'you', 'will', 'always', 'feel', 'natural', 'calm', 'and', 'clear', 'not', 'forced', 'chaotic', 'and', 'confused']",mindtendencies what meant for you will always feel natural calm and clear not forced chaotic and confused
132,132.0,@aylopuby Ya Allah 🙃,Twitter for iPhone,8.0,0.0,aylopuby ya allah,"['aylopuby', 'ya', 'allah']","['aylopuby', 'ya', 'allah']",aylopuby ya allah
133,133.0,@aylopuby gimana lagi typing jamet 🥲,Twitter for iPhone,43.0,0.0,aylopuby gimana lagi typing jamet,"['aylopuby', 'gimana', 'lagi', 'typing', 'jamet']","['aylopuby', 'gimana', 'lagi', 'typing', 'jamet']",aylopuby gimana lagi typing jamet
134,134.0,"Jadi, typing ganteng tuh yang kayak gimana sih?",Twitter for iPhone,2517.0,194.0,jadi typing ganteng tuh yang kayak gimana sih,"['jadi', 'typing', 'ganteng', 'tuh', 'yang', 'kayak', 'gimana', 'sih']","['jadi', 'typing', 'ganteng', 'tuh', 'yang', 'kayak', 'gimana', 'sih']",jadi typing ganteng tuh yang kayak gimana sih
135,135.0,@pakai_c_ Lalu belajar lebih kuat lagi agar tidak mudah dipatahkan,Twitter for iPhone,290.0,31.0,pakai_c_ lalu belajar lebih kuat lagi agar tidak mudah dipatahkan,"['pakai_c_', 'lalu', 'belajar', 'lebih', 'kuat', 'lagi', 'agar', 'tidak', 'mudah', 'dipatahkan']","['pakai_c_', 'lalu', 'belajar', 'lebih', 'kuat', 'lagi', 'agar', 'tidak', 'mudah', 'dipatahkan']",pakai_c_ lalu belajar lebih kuat lagi agar tidak mudah dipatahkan
136,136.0,Berprasangka baik pada takdir yang sudah ditentukan itu perlu.,Twitter for iPhone,51702.0,17219.0,berprasangka baik pada takdir yang sudah ditentukan itu perlu,"['berprasangka', 'baik', 'pada', 'takdir', 'yang', 'sudah', 'ditentukan', 'itu', 'perlu']","['berprasangka', 'baik', 'pada', 'takdir', 'yang', 'sudah', 'ditentukan', 'itu', 'perlu']",berprasangka baik pada takdir yang sudah ditentukan itu perlu
137,137.0,Bahagia selalu kamu terbarkan. Berbagi rasa sedihnya juga boleh ya? Berat kalau dipendam sendiri ☺️,Twitter for iPhone,6817.0,1182.0,bahagia selalu kamu terbarkan berbagi rasa sedihnya juga boleh ya berat kalau dipendam sendiri,"['bahagia', 'selalu', 'kamu', 'terbarkan', 'berbagi', 'rasa', 'sedihnya', 'juga', 'boleh', 'ya', 'berat', 'kalau', 'dipendam', 'sendiri']","['bahagia', 'selalu', 'kamu', 'terbarkan', 'berbagi', 'rasa', 'sedihnya', 'juga', 'boleh', 'ya', 'berat', 'kalau', 'dipendam', 'sendiri']",bahagia selalu kamu terbarkan berbagi rasa sedihnya juga boleh ya berat kalau dipendam sendiri
138,138.0,Akhir akhir ini banyak sekali hal yang sederhana yang bikin haru. Bahagia tapi haru 🥹,Twitter for iPhone,7972.0,1503.0,akhir akhir ini banyak sekali hal yang sederhana yang bikin haru bahagia tapi haru,"['akhir', 'akhir', 'ini', 'banyak', 'sekali', 'hal', 'yang', 'sederhana', 'yang', 'bikin', 'haru', 'bahagia', 'tapi', 'haru']","['akhir', 'akhir', 'ini', 'banyak', 'sekali', 'hal', 'yang', 'sederhana', 'yang', 'bikin', 'haru', 'bahagia', 'tapi', 'haru']",akhir akhir ini banyak sekali hal yang sederhana yang bikin haru bahagia tapi haru
139,139.0,@akusayangiam Belum ngantuk,Twitter for iPhone,6.0,1.0,akusayangiam belum ngantuk,"['akusayangiam', 'belum', 'ngantuk']","['akusayangiam', 'belum', 'ngantuk']",akusayangiam belum ngantuk
140,140.0,"Woo young woo dibaca dari depan atau belakang tetap woo young woo. Tamat, katak, malam …… apa lagi ya yang dibalik… https://t.co/mXYKIAO0ci",Twitter for iPhone,366.0,42.0,woo young woo dibaca dari depan atau belakang tetap woo young woo tamat katak malam apa lagi ya yang dibalik co,"['woo', 'young', 'woo', 'dibaca', 'dari', 'depan', 'atau', 'belakang', 'tetap', 'woo', 'young', 'woo', 'tamat', 'katak', 'malam', 'apa', 'lagi', 'ya', 'yang', 'dibalik', 'co']","['woo', 'young', 'woo', 'dibaca', 'dari', 'depan', 'atau', 'belakang', 'tetap', 'woo', 'young', 'woo', 'tamat', 'katak', 'malam', 'apa', 'lagi', 'ya', 'yang', 'dibalik', 'co']",woo young woo dibaca dari depan atau belakang tetap woo young woo tamat katak malam apa lagi ya yang dibalik co
141,141.0,@uluhiyxx Kiyowo overload 😭😭😭,Twitter for iPhone,2.0,0.0,uluhiy kiyowo overload,"['uluhiy', 'kiyowo', 'overload']","['uluhiy', 'kiyowo', 'overload']",uluhiy kiyowo overload
142,142.0,Baru beberapa episode tapi langsung dibikin sayang sama woo young woo,Twitter for iPhone,102.0,8.0,baru beberapa episode tapi langsung dibikin sayang sama woo young woo,"['baru', 'beberapa', 'episode', 'tapi', 'langsung', 'dibikin', 'sayang', 'sama', 'woo', 'young', 'woo']","['baru', 'beberapa', 'episode', 'tapi', 'langsung', 'dibikin', 'sayang', 'sama', 'woo', 'young', 'woo']",baru beberapa episode tapi langsung dibikin sayang sama woo young woo
143,143.0,Lagi nonton Extraordinary Attorney Woo. Kenapa gemas sekali 🥹🥹🥹,Twitter for iPhone,340.0,46.0,lagi nonton attorney woo kenapa gemas sekali,"['lagi', 'nonton', 'attorney', 'woo', 'kenapa', 'gemas', 'sekali']","['lagi', 'nonton', 'attorney', 'woo', 'kenapa', 'gemas', 'sekali']",lagi nonton attorney woo kenapa gemas sekali
144,144.0,"Kalau udah ga sayang bilang, jangan tiba-tiba hilang.",Twitter for iPhone,27916.0,4556.0,kalau udah ga sayang bilang jangan tiba tiba hilang,"['kalau', 'udah', 'ga', 'sayang', 'bilang', 'jangan', 'tiba', 'tiba', 'hilang']","['kalau', 'udah', 'ga', 'sayang', 'bilang', 'jangan', 'tiba', 'tiba', 'hilang']",kalau udah ga sayang bilang jangan tiba tiba hilang
145,145.0,Avoiding vecna with dunia tipu tipu . . . https://t.co/p525cB4jgy,Twitter Media Studio,342.0,27.0,avoiding vecna with dunia tipu tipu copcbjgy,"['avoiding', 'vecna', 'with', 'dunia', 'tipu', 'tipu', 'copcbjgy']","['avoiding', 'vecna', 'with', 'dunia', 'tipu', 'tipu', 'copcbjgy']",avoiding vecna with dunia tipu tipu copcbjgy
146,146.0,Cukupkan harimu jika sudah terasa berat. Kasih napas.,Twitter for iPhone,16497.0,3998.0,cukupkan harimu jika sudah terasa berat kasih napas,"['cukupkan', 'harimu', 'jika', 'sudah', 'terasa', 'berat', 'kasih', 'napas']","['cukupkan', 'harimu', 'jika', 'sudah', 'terasa', 'berat', 'kasih', 'napas']",cukupkan harimu jika sudah terasa berat kasih napas
147,147.0,@ryanpermana7_ suara hujan atau suara air gitu aku juga sukaaa. bikin tenang 😇,Twitter for iPhone,15.0,1.0,ryanpermana_ suara hujan atau suara air gitu aku juga sukaaa bikin tenang,"['ryanpermana_', 'suara', 'hujan', 'atau', 'suara', 'air', 'gitu', 'aku', 'juga', 'sukaaa', 'bikin', 'tenang']","['ryanpermana_', 'suara', 'hujan', 'atau', 'suara', 'air', 'gitu', 'aku', 'juga', 'sukaaa', 'bikin', 'tenang']",ryanpermana_ suara hujan atau suara air gitu aku juga sukaaa bikin tenang
148,148.0,@aprvdithh belum ada rencana tapi yaaa ga tau deh gimana nanti 🙃,Twitter for iPhone,6.0,0.0,aprvdithh belum ada rencana tapi yaaa ga tau deh gimana nanti,"['aprvdithh', 'belum', 'ada', 'rencana', 'tapi', 'yaaa', 'ga', 'tau', 'deh', 'gimana', 'nanti']","['aprvdithh', 'belum', 'ada', 'rencana', 'tapi', 'yaaa', 'ga', 'tau', 'deh', 'gimana', 'nanti']",aprvdithh belum ada rencana tapi yaaa ga tau deh gimana nanti
149,149.0,@inimasihata dia emang cubanget vlognya 😂,Twitter for iPhone,5.0,0.0,inimasihata dia emang cubanget vlognya,"['inimasihata', 'dia', 'emang', 'cubanget', 'vlognya']","['inimasihata', 'dia', 'emang', 'cubanget', 'vlognya']",inimasihata dia emang cubanget vlognya
150,150.0,"Kamu suka nonton vlog ga? Kalo suka, vlognya siapa yang sering kamu tonton?",Twitter for iPhone,481.0,11.0,kamu suka nonton vlog ga kalo suka vlognya siapa yang sering kamu tonton,"['kamu', 'suka', 'nonton', 'vlog', 'ga', 'kalo', 'suka', 'vlognya', 'siapa', 'yang', 'sering', 'kamu', 'tonton']","['kamu', 'suka', 'nonton', 'vlog', 'ga', 'kalo', 'suka', 'vlognya', 'siapa', 'yang', 'sering', 'kamu', 'tonton']",kamu suka nonton vlog ga kalo suka vlognya siapa yang sering kamu tonton
151,151.0,Ngobrol sama diri sendiri aja kadang bingung. Aku maunya apa?,Twitter for iPhone,44873.0,13080.0,ngobrol sama diri sendiri aja kadang bingung aku maunya apa,"['ngobrol', 'sama', 'diri', 'sendiri', 'aja', 'kadang', 'bingung', 'aku', 'maunya', 'apa']","['ngobrol', 'sama', 'diri', 'sendiri', 'aja', 'kadang', 'bingung', 'aku', 'maunya', 'apa']",ngobrol sama diri sendiri aja kadang bingung aku maunya apa
152,152.0,"@athalianara Iya, pelan pelan aja 😊",Twitter for iPhone,7.0,0.0,athalianara iya pelan pelan aja,"['athalianara', 'iya', 'pelan', 'pelan', 'aja']","['athalianara', 'iya', 'pelan', 'pelan', 'aja']",athalianara iya pelan pelan aja
153,153.0,Pelan-pelan coba memaafkan diri ini yang tidak sempurna.,Twitter for iPhone,37334.0,12413.0,pelan pelan coba memaafkan diri ini yang tidak sempurna,"['pelan', 'pelan', 'coba', 'memaafkan', 'diri', 'ini', 'yang', 'tidak', 'sempurna']","['pelan', 'pelan', 'coba', 'memaafkan', 'diri', 'ini', 'yang', 'tidak', 'sempurna']",pelan pelan coba memaafkan diri ini yang tidak sempurna
154,154.0,Percaya kalo sesuatu yang baik berakhir karena yang lebih baik nanti akan datang.,Twitter for iPhone,31158.0,10043.0,percaya kalo sesuatu yang baik berakhir karena yang lebih baik nanti akan datang,"['percaya', 'kalo', 'sesuatu', 'yang', 'baik', 'berakhir', 'karena', 'yang', 'lebih', 'baik', 'nanti', 'akan', 'datang']","['percaya', 'kalo', 'sesuatu', 'yang', 'baik', 'berakhir', 'karena', 'yang', 'lebih', 'baik', 'nanti', 'akan', 'datang']",percaya kalo sesuatu yang baik berakhir karena yang lebih baik nanti akan datang
155,155.0,Kenapa harus segera?,Twitter for iPhone,1057.0,130.0,kenapa harus segera,"['kenapa', 'harus', 'segera']","['kenapa', 'harus', 'segera']",kenapa harus segera
156,156.0,"RT @Muruluk: Hatur nuhun teh @yurayunita  parantos ngawihkeun “Bandung”. Soca mah 75 lengkah ka panggung, hate kagagas langkung ti 30 taun…",Twitter for iPhone,0.0,6.0,muruluk hatur nuhun teh yurayunita parantos ngawihkeun bandung soca mah   lengkah ka panggung hate kagagas langkung ti   taun,"['muruluk', 'hatur', 'nuhun', 'teh', 'yurayunita', 'parantos', 'ngawihkeun', 'bandung', 'soca', 'mah', 'lengkah', 'ka', 'panggung', 'hate', 'kagagas', 'langkung', 'ti', 'taun']","['muruluk', 'hatur', 'nuhun', 'teh', 'yurayunita', 'parantos', 'ngawihkeun', 'bandung', 'soca', 'mah', 'lengkah', 'ka', 'panggung', 'hate', 'kagagas', 'langkung', 'ti', 'taun']",muruluk hatur nuhun teh yurayunita parantos ngawihkeun bandung soca mah lengkah ka panggung hate kagagas langkung ti taun
157,157.0,"RT @ditaadilia: btw, cuman teteh @yurayunita yang bisa bikin berdiri semua penonton di Swaraya tanpa ada yg protes gogorowokan dari panitia…",Twitter for iPhone,0.0,2.0,ditaadilia btw cuman teteh yurayunita yang bisa bikin berdiri semua penonton di swaraya tanpa ada yg protes gogorowokan dari panitia,"['ditaadilia', 'btw', 'cuman', 'teteh', 'yurayunita', 'yang', 'bisa', 'bikin', 'berdiri', 'semua', 'penonton', 'di', 'swaraya', 'tanpa', 'ada', 'yg', 'protes', 'gogorowokan', 'dari', 'panitia']","['ditaadilia', 'btw', 'cuman', 'teteh', 'yurayunita', 'yang', 'bisa', 'bikin', 'berdiri', 'semua', 'penonton', 'di', 'swaraya', 'tanpa', 'ada', 'yg', 'protes', 'gogorowokan', 'dari', 'panitia']",ditaadilia btw cuman teteh yurayunita yang bisa bikin berdiri semua penonton di swaraya tanpa ada yg protes gogorowokan dari panitia
158,158.0,"Terima kasih, Bogor. Sampai jumpa lagi 🤍 https://t.co/6iOLQBeo7i",Twitter for iPhone,764.0,28.0,terima kasih bogor sampai jumpa lagi coiolqbeoi,"['terima', 'kasih', 'bogor', 'sampai', 'jumpa', 'lagi', 'coiolqbeoi']","['terima', 'kasih', 'bogor', 'sampai', 'jumpa', 'lagi', 'coiolqbeoi']",terima kasih bogor sampai jumpa lagi coiolqbeoi
159,159.0,Definisi gordes https://t.co/2buo3BuoXS,Twitter for iPhone,219.0,15.0,definisi gordes cobuobuo,"['definisi', 'gordes', 'cobuobuo']","['definisi', 'gordes', 'cobuobuo']",definisi gordes cobuobuo
160,160.0,Seneng banget ih aku mah kalo lagi manggung terus ada penonton yang gordes 😂,Twitter for iPhone,152.0,6.0,seneng banget ih aku mah kalo lagi manggung terus ada penonton yang gordes,"['seneng', 'banget', 'ih', 'aku', 'mah', 'kalo', 'lagi', 'manggung', 'terus', 'ada', 'penonton', 'yang', 'gordes']","['seneng', 'banget', 'ih', 'aku', 'mah', 'kalo', 'lagi', 'manggung', 'terus', 'ada', 'penonton', 'yang', 'gordes']",seneng banget ih aku mah kalo lagi manggung terus ada penonton yang gordes
161,161.0,RT @hey_raaaa: @yurayunita ❤️ https://t.co/LuFIVm830G,Twitter for iPhone,0.0,27.0,hey_raaaa yurayunita colufivmg,"['hey_raaaa', 'yurayunita', 'colufivmg']","['hey_raaaa', 'yurayunita', 'colufivmg']",hey_raaaa yurayunita colufivmg
163,163.0,Friday Night ✨ https://t.co/3ZttuTsnSZ,Twitter for iPhone,1404.0,64.0,friday night cozttutsnsz,"['friday', 'night', 'cozttutsnsz']","['friday', 'night', 'cozttutsnsz']",friday night cozttutsnsz
164,164.0,"Girls, kamu lebih nyaman pake apa?",Twitter for iPhone,16.0,0.0,girls kamu lebih nyaman pake apa,"['girls', 'kamu', 'lebih', 'nyaman', 'pake', 'apa']","['girls', 'kamu', 'lebih', 'nyaman', 'pake', 'apa']",girls kamu lebih nyaman pake apa
165,165.0,"Sedikit kemungkinan dalam 365, aku si pecinta celana mau pakai gaun. Sangat mungkin bisa dihitung jari 😋✨🤍 https://t.co/Kny3VAyls6",Twitter for iPhone,876.0,50.0,sedikit kemungkinan dalam   aku si pecinta celana mau pakai gaun sangat mungkin bisa dihitung jari coknyvayls,"['sedikit', 'kemungkinan', 'dalam', 'aku', 'si', 'pecinta', 'celana', 'mau', 'pakai', 'gaun', 'sangat', 'mungkin', 'bisa', 'dihitung', 'jari', 'coknyvayls']","['sedikit', 'kemungkinan', 'dalam', 'aku', 'si', 'pecinta', 'celana', 'mau', 'pakai', 'gaun', 'sangat', 'mungkin', 'bisa', 'dihitung', 'jari', 'coknyvayls']",sedikit kemungkinan dalam aku si pecinta celana mau pakai gaun sangat mungkin bisa dihitung jari coknyvayls
166,166.0,@nasyalalalalaa Sendiri ku tempuh,Twitter for iPhone,12.0,0.0,nasyalalalalaa sendiri ku tempuh,"['nasyalalalalaa', 'sendiri', 'ku', 'tempuh']","['nasyalalalalaa', 'sendiri', 'ku', 'tempuh']",nasyalalalalaa sendiri ku tempuh
167,167.0,Kita pernah saling menyayangi. Tapi siapa sangka sekarang kita sejauh ini.,Twitter for iPhone,10502.0,2686.0,kita pernah saling menyayangi tapi siapa sangka sekarang kita sejauh ini,"['kita', 'pernah', 'saling', 'menyayangi', 'tapi', 'siapa', 'sangka', 'sekarang', 'kita', 'sejauh', 'ini']","['kita', 'pernah', 'saling', 'menyayangi', 'tapi', 'siapa', 'sangka', 'sekarang', 'kita', 'sejauh', 'ini']",kita pernah saling menyayangi tapi siapa sangka sekarang kita sejauh ini
169,169.0,Emang selalu seru banget sih kalo ngobrol sama Vincent dan Desta 🤍,Twitter for iPhone,95.0,3.0,emang selalu seru banget sih kalo ngobrol sama vincent dan desta,"['emang', 'selalu', 'seru', 'banget', 'sih', 'kalo', 'ngobrol', 'sama', 'vincent', 'dan', 'desta']","['emang', 'selalu', 'seru', 'banget', 'sih', 'kalo', 'ngobrol', 'sama', 'vincent', 'dan', 'desta']",emang selalu seru banget sih kalo ngobrol sama vincent dan desta
170,170.0,"Ini walaupun becanda tapi ada banget degdegannya, mau nangis 😭 https://t.co/Yme5uazP0S",Twitter Media Studio,628.0,52.0,ini walaupun becanda tapi ada banget degdegannya mau nangis coymeuazps,"['ini', 'walaupun', 'becanda', 'tapi', 'ada', 'banget', 'degdegannya', 'mau', 'nangis', 'coymeuazps']","['ini', 'walaupun', 'becanda', 'tapi', 'ada', 'banget', 'degdegannya', 'mau', 'nangis', 'coymeuazps']",ini walaupun becanda tapi ada banget degdegannya mau nangis coymeuazps
171,171.0,"Selalu rindu. Selama rasa itu ada, doaku akan terkirim untukmu.",Twitter for iPhone,5571.0,1519.0,selalu rindu selama rasa itu ada doaku akan terkirim untukmu,"['selalu', 'rindu', 'selama', 'rasa', 'itu', 'ada', 'doaku', 'akan', 'terkirim', 'untukmu']","['selalu', 'rindu', 'selama', 'rasa', 'itu', 'ada', 'doaku', 'akan', 'terkirim', 'untukmu']",selalu rindu selama rasa itu ada doaku akan terkirim untukmu
172,172.0,"RT @TwitterID: Nah, yang satu ini khusus buat fans @yurayunita nih 👀

“Tutur ___ tak akan salah
Silakan pergi, ku tak ___ kalah”

#TweetYou…",Twitter for iPhone,0.0,56.0,twitterid nah yang satu ini khusus buat fans yurayunita nih tutur ___ tak akan salah silakan pergi ku tak ___ kalah,"['twitterid', 'nah', 'yang', 'satu', 'ini', 'khusus', 'buat', 'fans', 'yurayunita', 'nih', 'tutur', '___', 'tak', 'akan', 'salah', 'silakan', 'pergi', 'ku', 'tak', '___', 'kalah']","['twitterid', 'nah', 'yang', 'satu', 'ini', 'khusus', 'buat', 'fans', 'yurayunita', 'nih', 'tutur', '___', 'tak', 'akan', 'salah', 'silakan', 'pergi', 'ku', 'tak', '___', 'kalah']",twitterid nah yang satu ini khusus buat fans yurayunita nih tutur ___ tak akan salah silakan pergi ku tak ___ kalah
173,173.0,"RT @andikirfannn: Proses memaafkan itu emng bikin lega."" 
@yurayunita @vindestwitt https://t.co/EbWqHS4jCk",Twitter for iPhone,0.0,10.0,andikirfannn proses memaafkan itu emng bikin lega yurayunita vindestwitt coebwqhsjck,"['andikirfannn', 'proses', 'memaafkan', 'itu', 'emng', 'bikin', 'lega', 'yurayunita', 'vindestwitt', 'coebwqhsjck']","['andikirfannn', 'proses', 'memaafkan', 'itu', 'emng', 'bikin', 'lega', 'yurayunita', 'vindestwitt', 'coebwqhsjck']",andikirfannn proses memaafkan itu emng bikin lega yurayunita vindestwitt coebwqhsjck
